Plan Name,Slug,Cost USD,Retail USD,Retail USD,Direct Link,Shop Link
"Italy 5GB 30Days",IT_5_30,2.70,4.36,4.36,"https://asim.esimqr.link/pay/usd/IT_5_30","https://asim.esimqr.link/?slug=IT_5_30"
"Italy 10GB 30Days",IT_10_30,4.70,6.71,6.71,"https://asim.esimqr.link/pay/usd/IT_10_30","https://asim.esimqr.link/?slug=IT_10_30"
"Italy 20GB 30Days",IT_20_30,8.20,10.83,10.83,"https://asim.esimqr.link/pay/usd/IT_20_30","https://asim.esimqr.link/?slug=IT_20_30"
"Italy 50GB 30Days",IT_50_30,17.00,21.18,21.18,"https://asim.esimqr.link/pay/usd/IT_50_30","https://asim.esimqr.link/?slug=IT_50_30"
"Italy 50GB 180Days",IT_50_180,22.00,27.06,27.06,"https://asim.esimqr.link/pay/usd/IT_50_180","https://asim.esimqr.link/?slug=IT_50_180"
"Jamaica 100MB 7Days",JM_0.1_7,0.73,2.04,2.04,"https://asim.esimqr.link/pay/usd/JM_0.1_7","https://asim.esimqr.link/?slug=JM_0.1_7"
"Jamaica 500MB 7Days",JM_0.5_7,3.90,5.77,5.77,"https://asim.esimqr.link/pay/usd/JM_0.5_7","https://asim.esimqr.link/?slug=JM_0.5_7"
"Jamaica 1GB 7Days",JM_1_7,7.10,9.53,9.53,"https://asim.esimqr.link/pay/usd/JM_1_7","https://asim.esimqr.link/?slug=JM_1_7"
"Jamaica 3GB 15Days",JM_3_15,17.60,21.89,21.89,"https://asim.esimqr.link/pay/usd/JM_3_15","https://asim.esimqr.link/?slug=JM_3_15"
"Jamaica 3GB 30Days",JM_3_30,17.90,22.24,22.24,"https://asim.esimqr.link/pay/usd/JM_3_30","https://asim.esimqr.link/?slug=JM_3_30"
"Jamaica 5GB 30Days",JM_5_30,26.00,31.77,31.77,"https://asim.esimqr.link/pay/usd/JM_5_30","https://asim.esimqr.link/?slug=JM_5_30"
"Jamaica 10GB 30Days",JM_10_30,50.58,60.69,60.69,"https://asim.esimqr.link/pay/usd/JM_10_30","https://asim.esimqr.link/?slug=JM_10_30"
"Jamaica 20GB 30Days",JM_20_30,89.58,106.57,106.57,"https://asim.esimqr.link/pay/usd/JM_20_30","https://asim.esimqr.link/?slug=JM_20_30"
"Japan 100MB 7Days",JP_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/JP_0.1_7","https://asim.esimqr.link/?slug=JP_0.1_7"
"Japan 500MB 7Days",JP_0.5_7,0.40,1.65,1.65,"https://asim.esimqr.link/pay/usd/JP_0.5_7","https://asim.esimqr.link/?slug=JP_0.5_7"
"Japan 500MB/Day",JP_0.5_Daily_nonhkip,0.52,1.79,1.79,"https://asim.esimqr.link/pay/usd/JP_0.5_Daily_nonhkip","https://asim.esimqr.link/?slug=JP_0.5_Daily_nonhkip"
"Japan 500MB/Day (IIJ)",JP_0.5_Daily_IIJ,0.50,1.77,1.77,"https://asim.esimqr.link/pay/usd/JP_0.5_Daily_IIJ","https://asim.esimqr.link/?slug=JP_0.5_Daily_IIJ"
"Japan 1GB 7Days",JP_1_7_nonhkip,1.05,2.42,2.42,"https://asim.esimqr.link/pay/usd/JP_1_7_nonhkip","https://asim.esimqr.link/?slug=JP_1_7_nonhkip"
"Japan 1GB 7Days (IIJ)",JP_1_7_IIJ,0.70,2.00,2.00,"https://asim.esimqr.link/pay/usd/JP_1_7_IIJ","https://asim.esimqr.link/?slug=JP_1_7_IIJ"
"Japan 1GB/Day",JP_1_Daily_nonhkip,0.96,2.31,2.31,"https://asim.esimqr.link/pay/usd/JP_1_Daily_nonhkip","https://asim.esimqr.link/?slug=JP_1_Daily_nonhkip"
"Japan 1GB/Day (IIJ)",JP_1_Daily_IIJ,1.00,2.36,2.36,"https://asim.esimqr.link/pay/usd/JP_1_Daily_IIJ","https://asim.esimqr.link/?slug=JP_1_Daily_IIJ"
"Japan 3GB 15Days",JP_3_15_nonhkip,2.86,4.55,4.55,"https://asim.esimqr.link/pay/usd/JP_3_15_nonhkip","https://asim.esimqr.link/?slug=JP_3_15_nonhkip"
"Japan 3GB 15Days (IIJ)",JP_3_15_IIJ,1.70,3.18,3.18,"https://asim.esimqr.link/pay/usd/JP_3_15_IIJ","https://asim.esimqr.link/?slug=JP_3_15_IIJ"
"Japan 3GB 30Days",JP_3_30,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/JP_3_30","https://asim.esimqr.link/?slug=JP_3_30"
"Japan 3GB 30Days (IIJ)",JP_3_30_IIJ,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/JP_3_30_IIJ","https://asim.esimqr.link/?slug=JP_3_30_IIJ"
"Japan 2GB/Day",JP_2_Daily_nonhkip,1.84,3.35,3.35,"https://asim.esimqr.link/pay/usd/JP_2_Daily_nonhkip","https://asim.esimqr.link/?slug=JP_2_Daily_nonhkip"
"Japan 2GB/Day (IIJ)",JP_2_Daily_IIJ,2.00,3.53,3.53,"https://asim.esimqr.link/pay/usd/JP_2_Daily_IIJ","https://asim.esimqr.link/?slug=JP_2_Daily_IIJ"
"Japan 3GB/Day",JP_3_Daily_nonhkip,2.38,3.98,3.98,"https://asim.esimqr.link/pay/usd/JP_3_Daily_nonhkip","https://asim.esimqr.link/?slug=JP_3_Daily_nonhkip"
"Japan 5GB 30Days",JP_5_30_nonhkip,3.96,5.84,5.84,"https://asim.esimqr.link/pay/usd/JP_5_30_nonhkip","https://asim.esimqr.link/?slug=JP_5_30_nonhkip"
"Japan 5GB 30Days (IIJ)",JP_5_30_IIJ,2.70,4.36,4.36,"https://asim.esimqr.link/pay/usd/JP_5_30_IIJ","https://asim.esimqr.link/?slug=JP_5_30_IIJ"
"Japan 5GB/Day",JP_5_Daily_nonhkip,3.52,5.32,5.32,"https://asim.esimqr.link/pay/usd/JP_5_Daily_nonhkip","https://asim.esimqr.link/?slug=JP_5_Daily_nonhkip"
"Japan 10GB 30Days",JP_10_30_nonhkip,6.60,8.95,8.95,"https://asim.esimqr.link/pay/usd/JP_10_30_nonhkip","https://asim.esimqr.link/?slug=JP_10_30_nonhkip"
"Japan 10GB 30Days (IIJ)",JP_10_30_IIJ,4.70,6.71,6.71,"https://asim.esimqr.link/pay/usd/JP_10_30_IIJ","https://asim.esimqr.link/?slug=JP_10_30_IIJ"
"Japan 10GB/Day",JP_10_Daily_nonhkip,4.84,6.88,6.88,"https://asim.esimqr.link/pay/usd/JP_10_Daily_nonhkip","https://asim.esimqr.link/?slug=JP_10_Daily_nonhkip"
"Japan 20GB 30Days",JP_20_30_nonhkip,11.00,14.12,14.12,"https://asim.esimqr.link/pay/usd/JP_20_30_nonhkip","https://asim.esimqr.link/?slug=JP_20_30_nonhkip"
"Japan 20GB 30Days (IIJ)",JP_20_30_IIJ,8.20,10.83,10.83,"https://asim.esimqr.link/pay/usd/JP_20_30_IIJ","https://asim.esimqr.link/?slug=JP_20_30_IIJ"
"Japan 50GB 30Days",JP_50_30,17.00,21.18,21.18,"https://asim.esimqr.link/pay/usd/JP_50_30","https://asim.esimqr.link/?slug=JP_50_30"
"Japan 50GB 30Days (IIJ)",JP_50_30_IIJ,17.00,21.18,21.18,"https://asim.esimqr.link/pay/usd/JP_50_30_IIJ","https://asim.esimqr.link/?slug=JP_50_30_IIJ"
"Japan 50GB 180Days",JP_50_180,28.00,34.12,34.12,"https://asim.esimqr.link/pay/usd/JP_50_180","https://asim.esimqr.link/?slug=JP_50_180"
"Jersey 500MB/Day",JE_0.5_Daily,0.40,1.65,1.65,"https://asim.esimqr.link/pay/usd/JE_0.5_Daily","https://asim.esimqr.link/?slug=JE_0.5_Daily"
"Jersey 1GB/Day",JE_1_Daily,0.60,1.89,1.89,"https://asim.esimqr.link/pay/usd/JE_1_Daily","https://asim.esimqr.link/?slug=JE_1_Daily"
"Jersey 1GB 7Days",JE_1_7,0.70,2.00,2.00,"https://asim.esimqr.link/pay/usd/JE_1_7","https://asim.esimqr.link/?slug=JE_1_7"
"Jersey 2GB/Day",JE_2_Daily,1.10,2.48,2.48,"https://asim.esimqr.link/pay/usd/JE_2_Daily","https://asim.esimqr.link/?slug=JE_2_Daily"
"Jersey 3GB 15Days",JE_3_15,1.70,3.18,3.18,"https://asim.esimqr.link/pay/usd/JE_3_15","https://asim.esimqr.link/?slug=JE_3_15"
"Jersey 3GB 30Days",JE_3_30,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/JE_3_30","https://asim.esimqr.link/?slug=JE_3_30"
"Jersey 5GB 30Days",JE_5_30,2.70,4.36,4.36,"https://asim.esimqr.link/pay/usd/JE_5_30","https://asim.esimqr.link/?slug=JE_5_30"
"Jersey 10GB 30Days",JE_10_30,5.20,7.30,7.30,"https://asim.esimqr.link/pay/usd/JE_10_30","https://asim.esimqr.link/?slug=JE_10_30"
"Jersey 20GB 30Days",JE_20_30,8.20,10.83,10.83,"https://asim.esimqr.link/pay/usd/JE_20_30","https://asim.esimqr.link/?slug=JE_20_30"
"Jordan 100MB 7Days",JO_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/JO_0.1_7","https://asim.esimqr.link/?slug=JO_0.1_7"
"Jordan 500MB 7Days",JO_0.5_7,1.00,2.36,2.36,"https://asim.esimqr.link/pay/usd/JO_0.5_7","https://asim.esimqr.link/?slug=JO_0.5_7"
"Jordan 500MB/Day",JO_0.5_Daily,1.10,2.48,2.48,"https://asim.esimqr.link/pay/usd/JO_0.5_Daily","https://asim.esimqr.link/?slug=JO_0.5_Daily"
"Jordan 1GB/Day",JO_1_Daily,1.70,3.18,3.18,"https://asim.esimqr.link/pay/usd/JO_1_Daily","https://asim.esimqr.link/?slug=JO_1_Daily"
"Jordan 1GB 7Days",JO_1_7,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/JO_1_7","https://asim.esimqr.link/?slug=JO_1_7"
"Jordan 2GB/Day",JO_2_Daily,3.20,4.95,4.95,"https://asim.esimqr.link/pay/usd/JO_2_Daily","https://asim.esimqr.link/?slug=JO_2_Daily"
"Jordan 3GB 15Days",JO_3_15,4.60,6.59,6.59,"https://asim.esimqr.link/pay/usd/JO_3_15","https://asim.esimqr.link/?slug=JO_3_15"
"Jordan 3GB 30Days",JO_3_30,4.70,6.71,6.71,"https://asim.esimqr.link/pay/usd/JO_3_30","https://asim.esimqr.link/?slug=JO_3_30"
"Jordan 5GB 30Days",JO_5_30,7.00,9.42,9.42,"https://asim.esimqr.link/pay/usd/JO_5_30","https://asim.esimqr.link/?slug=JO_5_30"
"Jordan 10GB 30Days",JO_10_30,12.20,15.53,15.53,"https://asim.esimqr.link/pay/usd/JO_10_30","https://asim.esimqr.link/?slug=JO_10_30"
"Jordan 20GB 30Days",JO_20_30,20.00,24.71,24.71,"https://asim.esimqr.link/pay/usd/JO_20_30","https://asim.esimqr.link/?slug=JO_20_30"
"Jordan 50GB 30Days",JO_50_30,37.50,45.30,45.30,"https://asim.esimqr.link/pay/usd/JO_50_30","https://asim.esimqr.link/?slug=JO_50_30"
"Kazakhstan 100MB 7Days",KZ_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/KZ_0.1_7","https://asim.esimqr.link/?slug=KZ_0.1_7"
"Kazakhstan 500MB 7Days",KZ_0.5_7,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/KZ_0.5_7","https://asim.esimqr.link/?slug=KZ_0.5_7"
"Kazakhstan 500MB/Day",KZ_0.5_Daily,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/KZ_0.5_Daily","https://asim.esimqr.link/?slug=KZ_0.5_Daily"
"Kazakhstan 1GB/Day",KZ_1_Daily,1.40,2.83,2.83,"https://asim.esimqr.link/pay/usd/KZ_1_Daily","https://asim.esimqr.link/?slug=KZ_1_Daily"
"Kazakhstan 1GB 7Days",KZ_1_7,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/KZ_1_7","https://asim.esimqr.link/?slug=KZ_1_7"
"Kazakhstan 2GB/Day",KZ_2_Daily,2.60,4.24,4.24,"https://asim.esimqr.link/pay/usd/KZ_2_Daily","https://asim.esimqr.link/?slug=KZ_2_Daily"
"Kazakhstan 3GB 15Days",KZ_3_15,3.70,5.53,5.53,"https://asim.esimqr.link/pay/usd/KZ_3_15","https://asim.esimqr.link/?slug=KZ_3_15"
"Kazakhstan 3GB 30Days",KZ_3_30,3.80,5.65,5.65,"https://asim.esimqr.link/pay/usd/KZ_3_30","https://asim.esimqr.link/?slug=KZ_3_30"
"Kazakhstan 5GB 30Days",KZ_5_30,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/KZ_5_30","https://asim.esimqr.link/?slug=KZ_5_30"
"Kazakhstan 10GB 30Days",KZ_10_30,9.90,12.83,12.83,"https://asim.esimqr.link/pay/usd/KZ_10_30","https://asim.esimqr.link/?slug=KZ_10_30"
"Kazakhstan 20GB 30Days",KZ_20_30,16.80,20.95,20.95,"https://asim.esimqr.link/pay/usd/KZ_20_30","https://asim.esimqr.link/?slug=KZ_20_30"
"Kenya 100MB 7Days",KE_0.1_7,0.70,2.00,2.00,"https://asim.esimqr.link/pay/usd/KE_0.1_7","https://asim.esimqr.link/?slug=KE_0.1_7"
"Kenya 500MB/Day",KE_0.5_Daily,3.00,4.71,4.71,"https://asim.esimqr.link/pay/usd/KE_0.5_Daily","https://asim.esimqr.link/?slug=KE_0.5_Daily"
"Kenya 500MB 7Days",KE_0.5_7,3.10,4.83,4.83,"https://asim.esimqr.link/pay/usd/KE_0.5_7","https://asim.esimqr.link/?slug=KE_0.5_7"
"Kenya 1GB/Day",KE_1_Daily,5.60,7.77,7.77,"https://asim.esimqr.link/pay/usd/KE_1_Daily","https://asim.esimqr.link/?slug=KE_1_Daily"
"Kenya 1GB 7Days",KE_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/KE_1_7","https://asim.esimqr.link/?slug=KE_1_7"
"Kenya 2GB/Day",KE_2_Daily,10.00,12.95,12.95,"https://asim.esimqr.link/pay/usd/KE_2_Daily","https://asim.esimqr.link/?slug=KE_2_Daily"
"Kenya 3GB 15Days",KE_3_15,14.10,17.77,17.77,"https://asim.esimqr.link/pay/usd/KE_3_15","https://asim.esimqr.link/?slug=KE_3_15"
"Kenya 3GB 30Days",KE_3_30,14.20,17.89,17.89,"https://asim.esimqr.link/pay/usd/KE_3_30","https://asim.esimqr.link/?slug=KE_3_30"
"Kenya 5GB 30Days",KE_5_30,21.00,25.89,25.89,"https://asim.esimqr.link/pay/usd/KE_5_30","https://asim.esimqr.link/?slug=KE_5_30"
"Kenya 10GB 30Days",KE_10_30,40.00,48.24,48.24,"https://asim.esimqr.link/pay/usd/KE_10_30","https://asim.esimqr.link/?slug=KE_10_30"
"Kenya 20GB 30Days",KE_20_30,75.00,89.42,89.42,"https://asim.esimqr.link/pay/usd/KE_20_30","https://asim.esimqr.link/?slug=KE_20_30"
"Kosovo 1GB 7Days",XK_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/XK_1_7","https://asim.esimqr.link/?slug=XK_1_7"
"Kosovo 3GB 15Days",XK_3_15,14.10,17.77,17.77,"https://asim.esimqr.link/pay/usd/XK_3_15","https://asim.esimqr.link/?slug=XK_3_15"
"Kosovo 3GB 30Days",XK_3_30,14.40,18.12,18.12,"https://asim.esimqr.link/pay/usd/XK_3_30","https://asim.esimqr.link/?slug=XK_3_30"
"Kosovo 5GB 30Days",XK_5_30,21.00,25.89,25.89,"https://asim.esimqr.link/pay/usd/XK_5_30","https://asim.esimqr.link/?slug=XK_5_30"
"Kuwait 100MB 7Days",KW_0.1_7,0.30,1.53,1.53,"https://asim.esimqr.link/pay/usd/KW_0.1_7","https://asim.esimqr.link/?slug=KW_0.1_7"
"Kuwait 500MB/Day",KW_0.5_Daily,1.30,2.71,2.71,"https://asim.esimqr.link/pay/usd/KW_0.5_Daily","https://asim.esimqr.link/?slug=KW_0.5_Daily"
"Kuwait 500MB 7Days",KW_0.5_7,1.30,2.71,2.71,"https://asim.esimqr.link/pay/usd/KW_0.5_7","https://asim.esimqr.link/?slug=KW_0.5_7"
"Kuwait 1GB/Day",KW_1_Daily,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/KW_1_Daily","https://asim.esimqr.link/?slug=KW_1_Daily"
"Kuwait 1GB 7Days",KW_1_7,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/KW_1_7","https://asim.esimqr.link/?slug=KW_1_7"
"Kuwait 2GB/Day",KW_2_Daily,4.00,5.89,5.89,"https://asim.esimqr.link/pay/usd/KW_2_Daily","https://asim.esimqr.link/?slug=KW_2_Daily"
"Kuwait 3GB 15Days",KW_3_15,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/KW_3_15","https://asim.esimqr.link/?slug=KW_3_15"
"Kuwait 3GB 30Days",KW_3_30,5.90,8.12,8.12,"https://asim.esimqr.link/pay/usd/KW_3_30","https://asim.esimqr.link/?slug=KW_3_30"
"Kuwait 5GB 30Days",KW_5_30,8.80,11.53,11.53,"https://asim.esimqr.link/pay/usd/KW_5_30","https://asim.esimqr.link/?slug=KW_5_30"
"Kuwait 10GB 30Days",KW_10_30,15.00,18.83,18.83,"https://asim.esimqr.link/pay/usd/KW_10_30","https://asim.esimqr.link/?slug=KW_10_30"
"Kuwait 20GB 30Days",KW_20_30,25.00,30.59,30.59,"https://asim.esimqr.link/pay/usd/KW_20_30","https://asim.esimqr.link/?slug=KW_20_30"
"Kyrgyzstan 500MB/Day",KG_0.5_Daily,1.20,2.59,2.59,"https://asim.esimqr.link/pay/usd/KG_0.5_Daily","https://asim.esimqr.link/?slug=KG_0.5_Daily"
"Kyrgyzstan 1GB/Day",KG_1_Daily,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/KG_1_Daily","https://asim.esimqr.link/?slug=KG_1_Daily"
"Kyrgyzstan 1GB 7Days",KG_1_7,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/KG_1_7","https://asim.esimqr.link/?slug=KG_1_7"
"Kyrgyzstan 2GB/Day",KG_2_Daily,4.00,5.89,5.89,"https://asim.esimqr.link/pay/usd/KG_2_Daily","https://asim.esimqr.link/?slug=KG_2_Daily"
"Kyrgyzstan 3GB 15Days",KG_3_15,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/KG_3_15","https://asim.esimqr.link/?slug=KG_3_15"
"Kyrgyzstan 3GB 30Days",KG_3_30,5.90,8.12,8.12,"https://asim.esimqr.link/pay/usd/KG_3_30","https://asim.esimqr.link/?slug=KG_3_30"
"Kyrgyzstan 5GB 30Days",KG_5_30,8.80,11.53,11.53,"https://asim.esimqr.link/pay/usd/KG_5_30","https://asim.esimqr.link/?slug=KG_5_30"
"Kyrgyzstan 10GB 30Days",KG_10_30,15.20,19.06,19.06,"https://asim.esimqr.link/pay/usd/KG_10_30","https://asim.esimqr.link/?slug=KG_10_30"
"Kyrgyzstan 20GB 30Days",KG_20_30,25.00,30.59,30.59,"https://asim.esimqr.link/pay/usd/KG_20_30","https://asim.esimqr.link/?slug=KG_20_30"
"Latvia 1GB 7Days",LV_1_7,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/LV_1_7","https://asim.esimqr.link/?slug=LV_1_7"
"Latvia 3GB 15Days",LV_3_15,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/LV_3_15","https://asim.esimqr.link/?slug=LV_3_15"
"Latvia 3GB 30Days",LV_3_30,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/LV_3_30","https://asim.esimqr.link/?slug=LV_3_30"
"Latvia 5GB 30Days",LV_5_30,3.40,5.18,5.18,"https://asim.esimqr.link/pay/usd/LV_5_30","https://asim.esimqr.link/?slug=LV_5_30"
"Latvia 10GB 30Days",LV_10_30,6.10,8.36,8.36,"https://asim.esimqr.link/pay/usd/LV_10_30","https://asim.esimqr.link/?slug=LV_10_30"
"Latvia 20GB 30Days",LV_20_30,10.60,13.65,13.65,"https://asim.esimqr.link/pay/usd/LV_20_30","https://asim.esimqr.link/?slug=LV_20_30"
"Latvia 50GB 180Days",LV_50_180,30.00,36.48,36.48,"https://asim.esimqr.link/pay/usd/LV_50_180","https://asim.esimqr.link/?slug=LV_50_180"
"Liberia 1GB 7Days",LR_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/LR_1_7","https://asim.esimqr.link/?slug=LR_1_7"
"Liberia 3GB 15Days",LR_3_15,14.10,17.77,17.77,"https://asim.esimqr.link/pay/usd/LR_3_15","https://asim.esimqr.link/?slug=LR_3_15"
"Liberia 3GB 30Days",LR_3_30,14.40,18.12,18.12,"https://asim.esimqr.link/pay/usd/LR_3_30","https://asim.esimqr.link/?slug=LR_3_30"
"Liberia 5GB 30Days",LR_5_30,21.00,25.89,25.89,"https://asim.esimqr.link/pay/usd/LR_5_30","https://asim.esimqr.link/?slug=LR_5_30"
"Liechtenstein 1GB 7Days",LI_1_7,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/LI_1_7","https://asim.esimqr.link/?slug=LI_1_7"
"Liechtenstein 3GB 15Days",LI_3_15,3.13,4.86,4.86,"https://asim.esimqr.link/pay/usd/LI_3_15","https://asim.esimqr.link/?slug=LI_3_15"
"Liechtenstein 3GB 30Days",LI_3_30,3.23,4.98,4.98,"https://asim.esimqr.link/pay/usd/LI_3_30","https://asim.esimqr.link/?slug=LI_3_30"
"Liechtenstein 10GB 30Days",LI_10_30,9.90,12.83,12.83,"https://asim.esimqr.link/pay/usd/LI_10_30","https://asim.esimqr.link/?slug=LI_10_30"
"Lithuania 500MB/Day",LT_0.5_Daily,0.50,1.77,1.77,"https://asim.esimqr.link/pay/usd/LT_0.5_Daily","https://asim.esimqr.link/?slug=LT_0.5_Daily"
"Lithuania 1GB/Day",LT_1_Daily,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/LT_1_Daily","https://asim.esimqr.link/?slug=LT_1_Daily"
"Lithuania 1GB 7Days",LT_1_7,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/LT_1_7","https://asim.esimqr.link/?slug=LT_1_7"
"Lithuania 2GB/Day",LT_2_Daily,1.40,2.83,2.83,"https://asim.esimqr.link/pay/usd/LT_2_Daily","https://asim.esimqr.link/?slug=LT_2_Daily"
"Lithuania 3GB 15Days",LT_3_15,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/LT_3_15","https://asim.esimqr.link/?slug=LT_3_15"
"Lithuania 3GB 30Days",LT_3_30,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/LT_3_30","https://asim.esimqr.link/?slug=LT_3_30"
"Lithuania 5GB 30Days",LT_5_30,3.40,5.18,5.18,"https://asim.esimqr.link/pay/usd/LT_5_30","https://asim.esimqr.link/?slug=LT_5_30"
"Lithuania 10GB 30Days",LT_10_30,9.90,12.83,12.83,"https://asim.esimqr.link/pay/usd/LT_10_30","https://asim.esimqr.link/?slug=LT_10_30"
"Lithuania 20GB 30Days",LT_20_30,16.80,20.95,20.95,"https://asim.esimqr.link/pay/usd/LT_20_30","https://asim.esimqr.link/?slug=LT_20_30"
"Lithuania 50GB 180Days",LT_50_180,37.00,44.71,44.71,"https://asim.esimqr.link/pay/usd/LT_50_180","https://asim.esimqr.link/?slug=LT_50_180"
"Luxembourg 500MB/Day",LU_0.5_Daily,0.50,1.77,1.77,"https://asim.esimqr.link/pay/usd/LU_0.5_Daily","https://asim.esimqr.link/?slug=LU_0.5_Daily"
"Luxembourg 1GB/Day",LU_1_Daily,0.80,2.12,2.12,"https://asim.esimqr.link/pay/usd/LU_1_Daily","https://asim.esimqr.link/?slug=LU_1_Daily"
"Luxembourg 1GB 7Days",LU_1_7,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/LU_1_7","https://asim.esimqr.link/?slug=LU_1_7"
"Luxembourg 2GB/Day",LU_2_Daily,1.50,2.95,2.95,"https://asim.esimqr.link/pay/usd/LU_2_Daily","https://asim.esimqr.link/?slug=LU_2_Daily"
"Luxembourg 3GB 15Days",LU_3_15,2.20,3.77,3.77,"https://asim.esimqr.link/pay/usd/LU_3_15","https://asim.esimqr.link/?slug=LU_3_15"
"Luxembourg 3GB 30Days",LU_3_30,2.30,3.89,3.89,"https://asim.esimqr.link/pay/usd/LU_3_30","https://asim.esimqr.link/?slug=LU_3_30"
"Luxembourg 5GB 30Days",LU_5_30,3.40,5.18,5.18,"https://asim.esimqr.link/pay/usd/LU_5_30","https://asim.esimqr.link/?slug=LU_5_30"
"Luxembourg 10GB 30Days",LU_10_30,6.10,8.36,8.36,"https://asim.esimqr.link/pay/usd/LU_10_30","https://asim.esimqr.link/?slug=LU_10_30"
"Luxembourg 20GB 30Days",LU_20_30,10.60,13.65,13.65,"https://asim.esimqr.link/pay/usd/LU_20_30","https://asim.esimqr.link/?slug=LU_20_30"
"Luxembourg 50GB 180Days",LU_50_180,30.00,36.48,36.48,"https://asim.esimqr.link/pay/usd/LU_50_180","https://asim.esimqr.link/?slug=LU_50_180"
"Macao 500MB/Day",MO_0.5_Daily_nonhkip,0.57,1.85,1.85,"https://asim.esimqr.link/pay/usd/MO_0.5_Daily_nonhkip","https://asim.esimqr.link/?slug=MO_0.5_Daily_nonhkip"
"Macao 1GB/Day",MO_1_Daily_nonhkip,0.92,2.26,2.26,"https://asim.esimqr.link/pay/usd/MO_1_Daily_nonhkip","https://asim.esimqr.link/?slug=MO_1_Daily_nonhkip"
"Macao 1GB 7Days",MO_1_7_nonhkip,0.96,2.31,2.31,"https://asim.esimqr.link/pay/usd/MO_1_7_nonhkip","https://asim.esimqr.link/?slug=MO_1_7_nonhkip"
"Macao 2GB/Day",MO_2_Daily_nonhkip,1.76,3.25,3.25,"https://asim.esimqr.link/pay/usd/MO_2_Daily_nonhkip","https://asim.esimqr.link/?slug=MO_2_Daily_nonhkip"
"Macao 3GB 15Days",MO_3_15_nonhkip,2.46,4.08,4.08,"https://asim.esimqr.link/pay/usd/MO_3_15_nonhkip","https://asim.esimqr.link/?slug=MO_3_15_nonhkip"
"Macao 3GB 30Days",MO_3_30,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/MO_3_30","https://asim.esimqr.link/?slug=MO_3_30"
"Macao 5GB 30Days",MO_5_30_nonhkip,3.52,5.32,5.32,"https://asim.esimqr.link/pay/usd/MO_5_30_nonhkip","https://asim.esimqr.link/?slug=MO_5_30_nonhkip"
"Macao 10GB 30Days",MO_10_30_nonhkip,6.16,8.43,8.43,"https://asim.esimqr.link/pay/usd/MO_10_30_nonhkip","https://asim.esimqr.link/?slug=MO_10_30_nonhkip"
"Macao 20GB 30Days",MO_20_30_nonhkip,10.56,13.61,13.61,"https://asim.esimqr.link/pay/usd/MO_20_30_nonhkip","https://asim.esimqr.link/?slug=MO_20_30_nonhkip"
"Macao 50GB 30Days",MO_50_30,17.00,21.18,21.18,"https://asim.esimqr.link/pay/usd/MO_50_30","https://asim.esimqr.link/?slug=MO_50_30"
"Macao 50GB 180Days",MO_50_180,28.00,34.12,34.12,"https://asim.esimqr.link/pay/usd/MO_50_180","https://asim.esimqr.link/?slug=MO_50_180"
"Madagascar 1GB 7Days",MG_1_7,4.60,6.59,6.59,"https://asim.esimqr.link/pay/usd/MG_1_7","https://asim.esimqr.link/?slug=MG_1_7"
"Madagascar 3GB 15Days",MG_3_15,11.20,14.36,14.36,"https://asim.esimqr.link/pay/usd/MG_3_15","https://asim.esimqr.link/?slug=MG_3_15"
"Malawi 1GB 7Days",MW_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/MW_1_7","https://asim.esimqr.link/?slug=MW_1_7"
"Malawi 3GB 15Days",MW_3_15,14.10,17.77,17.77,"https://asim.esimqr.link/pay/usd/MW_3_15","https://asim.esimqr.link/?slug=MW_3_15"
